Time (+08),Temp.,Heat Index,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
12:00 AM,25.0 °C,-,24.0 °C,94%,1012 hPa,9.0 km,NW,3.7 km/h / 1.0 m/s,-,N/A, ,Mostly Cloudy
1:00 AM,25.0 °C,-,24.0 °C,94%,1011 hPa,10.0 km,Calm,Calm,-,N/A, ,Mostly Cloudy
2:00 AM,25.0 °C,-,24.0 °C,94%,1011 hPa,5.0 km,North,5.6 km/h / 1.5 m/s,-,N/A, ,Haze
3:00 AM,25.0 °C,-,23.0 °C,89%,1010 hPa,6.0 km,Calm,Calm,-,N/A, ,Mostly Cloudy
4:00 AM,24.0 °C,-,23.0 °C,94%,1010 hPa,9.0 km,West,1.9 km/h / 0.5 m/s,-,N/A, ,Mostly Cloudy
5:00 AM,24.0 °C,-,23.0 °C,94%,1010 hPa,7.0 km,Calm,Calm,-,N/A, ,Mostly Cloudy
6:00 AM,24.0 °C,-,23.0 °C,94%,1011 hPa,6.0 km,Calm,Calm,-,N/A, ,Mostly Cloudy
7:00 AM,24.0 °C,-,23.0 °C,94%,1011 hPa,6.0 km,Calm,Calm,-,N/A, ,Mostly Cloudy
8:00 AM,25.0 °C,-,23.0 °C,89%,1011 hPa,7.0 km,North,3.7 km/h / 1.0 m/s,-,N/A, ,Mostly Cloudy
9:00 AM,26.0 °C,-,23.0 °C,83%,1011 hPa,10.0 km,North,1.9 km/h / 0.5 m/s,-,N/A, ,Mostly Cloudy
10:00 AM,28.0 °C,31.9 °C,24.0 °C,79%,1012 hPa,10.0 km,NNE,5.6 km/h / 1.5 m/s,-,N/A, ,Mostly Cloudy
11:00 AM,29.0 °C,32.7 °C,23.0 °C,70%,1011 hPa,10.0 km,NW,7.4 km/h / 2.1 m/s,-,N/A, ,Mostly Cloudy
12:00 PM,30.0 °C,34.1 °C,23.0 °C,66%,1011 hPa,10.0 km,NW,5.6 km/h / 1.5 m/s,-,N/A, ,Mostly Cloudy
1:00 PM,31.0 °C,35.4 °C,23.0 °C,62%,1010 hPa,10.0 km,West,7.4 km/h / 2.1 m/s,-,N/A, ,Mostly Cloudy
2:00 PM,31.0 °C,36.4 °C,24.0 °C,66%,1009 hPa,10.0 km,NW,9.3 km/h / 2.6 m/s,-,N/A, ,Mostly Cloudy
3:00 PM,28.0 °C,32.7 °C,25.0 °C,84%,1009 hPa,6.0 km,ESE,5.6 km/h / 1.5 m/s,-,N/A,Rain,Light Rain
4:00 PM,27.0 °C,30.6 °C,25.0 °C,89%,1008 hPa,6.0 km,SE,3.7 km/h / 1.0 m/s,-,N/A,Rain,Light Rain
5:00 PM,28.0 °C,32.7 °C,25.0 °C,84%,1008 hPa,10.0 km,SSE,5.6 km/h / 1.5 m/s,-,N/A, ,Mostly Cloudy
6:00 PM,28.0 °C,32.7 °C,25.0 °C,84%,1008 hPa,6.0 km,WNW,5.6 km/h / 1.5 m/s,-,N/A, ,Overcast
7:00 PM,27.0 °C,30.6 °C,25.0 °C,89%,1009 hPa,9.0 km,SSE,5.6 km/h / 1.5 m/s,-,N/A, ,Mostly Cloudy
8:00 PM,27.0 °C,30.6 °C,25.0 °C,89%,1009 hPa,7.0 km,South,3.7 km/h / 1.0 m/s,-,N/A, ,Mostly Cloudy
9:00 PM,27.0 °C,30.6 °C,25.0 °C,89%,1010 hPa,9.0 km,SSE,3.7 km/h / 1.0 m/s,-,N/A, ,Mostly Cloudy
10:00 PM,26.0 °C,-,25.0 °C,94%,1011 hPa,5.0 km,WNW,1.9 km/h / 0.5 m/s,-,N/A, ,Haze
11:00 PM,26.0 °C,-,25.0 °C,94%,1011 hPa,5.0 km,WNW,1.9 km/h / 0.5 m/s,-,N/A, ,Haze
